Codice;Codice Fiscale;Ragione Sociale;Indirizzo;Città
EVS333;RCCCRN60P49L736X;Servizi Idrici del Nord Srl di Stefano Bruno;Via Matteotti, 245;Venezia
EYE650;RCCPRI67A11B354O;Acquedotto Centrale Italiano Srl di Antonio Romano;Via IV Novembre, 295;Cagliari
EYM500;LMBDNL63T20C352A;BluFonte Distribuzione SpA di Giovanni Greco;Via dei Mille, 24;Catanzaro
EZJ036;MRNGRG59R01G482D;Acquedotto Centrale Italiano Srl di Antonio Romano;Via della Costituzione, 94;Pescara
EZU919;GNTNTN77A24D704R;Idrogest Italia SpA di Paolo De Luca;Via Verdi, 177;Forlì
EZZ678;MRNFRC77B60F704C;Sorgenti d'Italia Srl di Roberto Marino;Via del Commercio, 276;Monza
FAC359;MRTFNC85T59G535T;BluFonte Distribuzione SpA di Giovanni Greco;Corso Vittorio Emanuele, 100;Piacenza
FBD658;GLLCHR45H41L781H;Acquedotto Peninsulare SpA di Lorenzo Conti;Viale dei Lavoratori, 85;Verona
FBG190;LMBCLD90H55E472C;BluFonte Distribuzione SpA di Giovanni Greco;Corso Vittorio Emanuele, 133;Latina
FBQ381;MRCNTN90D09C573C;Acque Chiare Servizi Srl di Marco Rossi;Viale Leopardi, 3;Cesena
FBY595;LMBCRN67M62L117P;Acquedotto Centrale Italiano Srl di Antonio Romano;Via delle Scienze, 119;Terni
FCE326;CNTGNN78D18A944B;BluFonte Distribuzione SpA di Giovanni Greco;Via dei Mille, 152;Bologna
FCO701;FRRVCN80L01G999B;Acque del Sud Italia SpA di Elena Giordano;Viale Nazionale, 175;Prato
FCW568;SLVCRN86B47D548L;Acquedotto Centrale Italiano Srl di Antonio Romano;Via delle Scienze, 9;Ferrara
FDB766;VTLLRA95T46L049S;Acquedotto Centrale Italiano Srl di Antonio Romano;Via Europa, 238;Taranto
FDC206;BRBVCN52B20D704Z;Idrogest Italia SpA di Paolo De Luca;Via Dante, 277;Forlì
FDS656;DLCPRI78R14E472S;Acqua Sicura Forniture Srl di Chiara Lombardi;Corso Cavour, 178;Latina
FEH601;BNCLSE93E67G273W;Acque Chiare Servizi Srl di Marco Rossi;Corso Marconi, 296;Palermo
FFL688;GRCCHR96R43E506V;Acque Chiare Servizi Srl di Marco Rossi;Viale Santa Maria, 91;Lecce
FFR380;LMBFNC88A05E506M;Gestione Idrica Integrata SpA di Francesco Bianchi;Corso dell'Artigianato, 135;Lecce
FGL090;VLLSMN83L24C351V;Idro Distribuzione Italiana SpA di Luca Russo;Via della Libertà, 56;Catania
FGS020;MRNMNC53A50E625Q;Idrogest Italia SpA di Paolo De Luca;Via San Giovanni, 56;Livorno
FHI236;SPSDNL71C20G535E;Acque del Sud Italia SpA di Elena Giordano;Via Roma, 211;Piacenza
FHL537;RLNLSN64R03B157C;Acquedotto Peninsulare SpA di Lorenzo Conti;Via Europa, 111;Brescia
FHS782;RNLRCR48C01H294M;PureFlow Idrica Srl di Alessandro Ricci;Corso Cavour, 70;Rimini
FIF320;DNGLCU61P04C573Y;Acquedotto Centrale Italiano Srl di Antonio Romano;Via dell'Acquedotto, 3;Cesena
FIO913;CPPNTN55P06A944D;Acqua Sicura Forniture Srl di Chiara Lombardi;Corso della Pace, 18;Bologna
FIQ800;MNCCHR82C66G478E;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Piazza Mazzini, 253;Perugia
FLH138;LMBPRZ67B41D548Z;Acquedotto Centrale Italiano Srl di Antonio Romano;Via delle Scienze, 21;Ferrara
FMA485;CNTMHL76S26L117X;Idrogest Italia SpA di Paolo De Luca;Corso XX Settembre, 129;Terni
FMO471;DNGFRC82S52D548C;Fonti Chiare Distribuzione Srl di Laura Mancini;Via San Giovanni, 233;Ferrara
FMQ127;FRRVNT78E50H294M;Cristallina Acque Srl di Giulia Moretti;Viale Nazionale, 104;Rimini
FMU817;FRRCST56E68H501O;Acquedotto Peninsulare SpA di Lorenzo Conti;Via Europa, 220;Roma
FMX646;VLLTRS65E54L483S;Acquedotto Centrale Italiano Srl di Antonio Romano;Via Dante, 131;Udine
FNX394;RSSCRN90B68C351R;Idrogest Italia SpA di Paolo De Luca;Viale dei Lavoratori, 176;Catania
FNY995;DLCVNT92L55A285Y;Acque Chiare Servizi Srl di Marco Rossi;Via Matteotti, 148;Andria
FNZ767;CNTGNN88B23F205A;Acqua Sicura Forniture Srl di Chiara Lombardi;Corso della Pace, 203;Milano
FOA460;CSTRRT64E19D086C;Acqua & Territorio SpA di Davide Gallo;Via San Giovanni, 80;Cosenza
FOP036;VTLMSM59P21A794B;Cristallina Acque Srl di Giulia Moretti;Via dell'Acquedotto, 134;Bergamo
FPA202;RCCGLI66D47D612C;Acque Chiare Servizi Srl di Marco Rossi;Via Dante, 59;Firenze
FRK794;FNTLNZ48M15A285P;Acqua Sicura Forniture Srl di Chiara Lombardi;Corso Vittorio Emanuele, 265;Andria
FSA941;MRNLSN84C24A285A;BluFonte Distribuzione SpA di Giovanni Greco;Corso del Porto, 160;Andria
FSF505;CLMMSM57A24L483H;Gestione Idrica Integrata SpA di Francesco Bianchi;Via Europa, 23;Udine
FTE353;MRNMSM73R28F205H;Rete Idrica Nazionale SpA di Matteo Colombo;Via Verdi, 215;Milano
FTK023;LNGLNZ97D27F257S;Idro Distribuzione Italiana SpA di Luca Russo;Via dei Mille, 240;Modena
FTX445;LMBRRT86L08A390V;Acquedotto Peninsulare SpA di Lorenzo Conti;Viale Nazionale, 226;Arezzo
FUK474;DNGLCU78R05L424S;Idrogest Italia SpA di Paolo De Luca;Piazza Mazzini, 148;Trieste
FUY924;CSTNTN82P10L483I;BluFonte Distribuzione SpA di Giovanni Greco;Viale della Repubblica, 68;Udine
FVI064;FNTPLA95L24D548J;Servizi Idrici del Nord Srl di Stefano Bruno;Viale dei Lavoratori, 118;Ferrara
FVT573;FRRRCR96A28G337D;Idroservice Nazionale SpA di Sara Rizzo;Viale delle Industrie, 199;Parma
FWF716;DLCGNN88T48G999B;Acque del Sud Italia SpA di Elena Giordano;Corso Vittorio Emanuele, 225;Prato
FWS496;CSTLSE76R57D548A;PureFlow Idrica Srl di Alessandro Ricci;Viale Santa Maria, 12;Ferrara
FWZ919;GNTGPP91M23F205I;Acquedotto Centrale Italiano Srl di Antonio Romano;Viale Nazionale, 262;Milano
FXQ678;VTLRRT46A11G999V;BluAcqua Forniture Srl di Giuseppe Esposito;Viale Nazionale, 4;Prato
FXT306;BRNCLD97R47A952E;PureFlow Idrica Srl di Alessandro Ricci;Via della Costituzione, 37;Bolzano
FXY717;FRRPRZ64R56H703I;Cristallina Acque Srl di Giulia Moretti;Via Colombo, 218;Salerno
FYE914;MRTNTN59D13D086X;Gestione Idrica Integrata SpA di Francesco Bianchi;Via Colombo, 202;Cosenza
FYZ730;GLLMNC61C68L781Q;Rete Idrica Nazionale SpA di Matteo Colombo;Viale delle Industrie, 185;Verona
FZC435;BNCRCR71L22G482K;Acque del Sud Italia SpA di Elena Giordano;Via del Commercio, 281;Pescara
FZD179;FNTVNT49D57D612P;Servizi Idrici del Nord Srl di Stefano Bruno;Via del Commercio, 151;Firenze
FZQ259;GRDPLA63A07D612O;Acqua & Territorio SpA di Davide Gallo;Via delle Scienze, 281;Firenze
FZR391;FRRMSM55M17A285Y;Acque del Sud Italia SpA di Elena Giordano;Via delle Scienze, 259;Andria
GBO627;RMNPRI90S16H224N;Acqua Sicura Forniture Srl di Chiara Lombardi;Via Dante, 74;Reggio Calabria
GCG283;BNCLNE62D60G337N;Acquedotto Peninsulare SpA di Lorenzo Conti;Corso Cavour, 266;Parma
GCR857;RMNNGL86L56B157V;Rete Idrica Nazionale SpA di Matteo Colombo;Via della Costituzione, 144;Brescia
GCW459;CRSFBA95D01D643X;Idroservice Nazionale SpA di Sara Rizzo;Via Roma, 16;Foggia
GEC158;CRSFNC69L21L483W;BluAcqua Forniture Srl di Giuseppe Esposito;Viale della Repubblica, 298;Udine
GEF774;GNTDVD86L12F257V;Idrogest Italia SpA di Paolo De Luca;Corso Marconi, 122;Modena
GGA048;MRTGLI90B26C573E;Rete Idrica Nazionale SpA di Matteo Colombo;Corso Garibaldi, 121;Cesena
GHG836;RZZLSN78S03D612E;Gestione Idrica Integrata SpA di Francesco Bianchi;Corso dell'Artigianato, 117;Firenze
GHH245;RCCRRT70B55L781A;Acquedotto Centrale Italiano Srl di Antonio Romano;Via Colombo, 119;Verona
GHN952;FRRCLD57T41H224E;Acque Chiare Servizi Srl di Marco Rossi;Viale della Repubblica, 25;Reggio Calabria
GHT157;GLLPRI54L16C351I;Gestione Idrica Integrata SpA di Francesco Bianchi;Via del Commercio, 121;Catania
GIT881;LNESFN81A26L049P;Acquedotto Centrale Italiano Srl di Antonio Romano;Viale Leopardi, 70;Taranto
GJD603;MNCLSN55H16D704W;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Via del Commercio, 278;Forlì
GJG636;SNTLRA76S51L483D;AcquaPura Italia Srl di Maria Costa;Viale Santa Maria, 134;Udine
GJI104;CRSPRZ73R47F704G;BluFonte Distribuzione SpA di Giovanni Greco;Via Roma, 78;Monza
GJI344;FRRNNA72E57H199C;Cristallina Acque Srl di Giulia Moretti;Via IV Novembre, 134;Ravenna
GJR800;FRRRRT56T68F205H;Idroservice Nazionale SpA di Sara Rizzo;Via delle Scienze, 77;Milano
GJU441;BRBLRT45A05H703K;Acque del Sud Italia SpA di Elena Giordano;Viale dei Lavoratori, 266;Salerno
GKD210;DNGCLD67L61A794H;BluFonte Distribuzione SpA di Giovanni Greco;Via dei Mille, 80;Bergamo
GKT029;GLLRRT53M09D704C;BluFonte Distribuzione SpA di Giovanni Greco;Via San Giovanni, 86;Forlì
GLP066;VTLRCR88D20G999K;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Via Dante, 164;Prato
GMA723;LMBCLD46R46L736J;Acquedotto Centrale Italiano Srl di Antonio Romano;Corso Vittorio Emanuele, 263;Venezia
GMW344;SLVFNC57C67A662E;Acque Chiare Servizi Srl di Marco Rossi;Via Europa, 281;Bari
GNV722;LNECHR63A47A944G;Acquedotto Centrale Italiano Srl di Antonio Romano;Via della Costituzione, 21;Bologna
GOB072;BRNTRS79S44B157A;Acqua Sicura Forniture Srl di Chiara Lombardi;Corso Vittorio Emanuele, 154;Brescia
GOQ997;FRRFBA83E28L049C;Idrogest Italia SpA di Paolo De Luca;Via Colombo, 34;Taranto
GOX523;GLLLNE59S63A285I;Fonti Chiare Distribuzione Srl di Laura Mancini;Corso Garibaldi, 275;Andria
GPP453;RSSFNC93B19L049S;Idroservice Nazionale SpA di Sara Rizzo;Via del Commercio, 176;Taranto
GPU731;DSNMRA62D52B354R;Acqua Sicura Forniture Srl di Chiara Lombardi;Viale della Repubblica, 272;Cagliari
GPX163;GRDTRS78S64B354C;Acqua Sicura Forniture Srl di Chiara Lombardi;Via IV Novembre, 6;Cagliari
GQU615;DNGFRC77B68L781F;BluFonte Distribuzione SpA di Giovanni Greco;Corso Marconi, 179;Verona
GRF273;GRDSLV50T46L049J;Rete Idrica Nazionale SpA di Matteo Colombo;Corso della Pace, 256;Taranto
GRV243;MNTLSN86T21G337Z;Gestione Idrica Integrata SpA di Francesco Bianchi;Via Verdi, 88;Parma
GSJ510;CRSPLA49D21E625K;BluAcqua Forniture Srl di Giuseppe Esposito;Via dell'Acquedotto, 147;Livorno
GUB547;FRRMNC85R53H703R;AcquaPura Italia Srl di Maria Costa;Via San Giovanni, 135;Salerno
GVR190;MRNCLD49B59H501Y;Acqua Sicura Forniture Srl di Chiara Lombardi;Corso della Pace, 239;Roma
GVW148;MNTMHL45B26A271Y;Acqua Sicura Forniture Srl di Chiara Lombardi;Via delle Scienze, 180;Ancona
GWK389;CNTGLI94L66B157T;Fonti Chiare Distribuzione Srl di Laura Mancini;Via della Costituzione, 174;Brescia
GXT884;VTLLSN74R01F205R;Acqua & Territorio SpA di Davide Gallo;Via della Libertà, 144;Milano
GXZ714;MRNTRS66E53F704R;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Viale Leopardi, 20;Monza
GYC425;FRRGRG53S01F205F;PureFlow Idrica Srl di Alessandro Ricci;Via IV Novembre, 202;Milano
GZF655;RNLMRC88P15L736H;Cristallina Acque Srl di Giulia Moretti;Via del Commercio, 258;Venezia
GZI680;DSNFNC98R04I452P;BluFonte Distribuzione SpA di Giovanni Greco;Via IV Novembre, 101;Sassari
GZQ949;GRSBBR68A42L424W;Acquedotto Peninsulare SpA di Lorenzo Conti;Via IV Novembre, 214;Trieste
HAK423;NREGRG83M06D969Q;Acqua Sicura Forniture Srl di Chiara Lombardi;Via Roma, 95;Genova
HAM173;CNTSRG98L12E472Y;Acque Chiare Servizi Srl di Marco Rossi;Corso XX Settembre, 217;Latina
HAP837;RSSPRI97P12A285C;Gestione Idrica Integrata SpA di Francesco Bianchi;Via San Giovanni, 174;Andria
HCK551;CNTSRA95P44H501Q;Acqua Sicura Forniture Srl di Chiara Lombardi;Piazza Mazzini, 223;Roma
HCX456;LMBMRA71A52G482P;Acqua & Territorio SpA di Davide Gallo;Viale Nazionale, 27;Pescara
HDV562;FRRSMN88S15A271W;Acquedotto Peninsulare SpA di Lorenzo Conti;Via Dante, 180;Ancona
HEF141;RZZTRS98S64D612Z;Acquedotto Peninsulare SpA di Lorenzo Conti;Corso Garibaldi, 188;Firenze
HEQ710;MRNPLA54D55A390D;Idroservice Nazionale SpA di Sara Rizzo;Via Verdi, 42;Arezzo
HFI809;LNECLD52L58H294E;BluFonte Distribuzione SpA di Giovanni Greco;Viale Italia, 40;Rimini
HGG515;CPPBBR53C51L736J;Acqua & Territorio SpA di Davide Gallo;Corso Garibaldi, 71;Venezia
HGI506;GRDNRC98S17L049C;PureFlow Idrica Srl di Alessandro Ricci;Via San Giovanni, 237;Taranto
HGP094;MRTNNA47L48G224R;Idro Distribuzione Italiana SpA di Luca Russo;Piazza Mazzini, 235;Padova
HGQ646;BNCVCN70R01C351S;Fonti Chiare Distribuzione Srl di Laura Mancini;Via della Libertà, 3;Catania
HGR758;RSSLSN52M51C352B;Acque del Sud Italia SpA di Elena Giordano;Via dell'Acquedotto, 160;Catanzaro
HHA758;CSTLCU51S01D643Y;Rete Idrica Nazionale SpA di Matteo Colombo;Corso del Porto, 215;Foggia
HHD996;MRTLSE50L63D086D;BluFonte Distribuzione SpA di Giovanni Greco;Corso dell'Artigianato, 47;Cosenza
HIS114;MNCLRA45D41A285C;Idrogest Italia SpA di Paolo De Luca;Viale della Repubblica, 200;Andria
HIS414;FNTNNA51R65A271W;Idro Distribuzione Italiana SpA di Luca Russo;Via Verdi, 128;Ancona
HJJ280;FNTRRT80S12G999W;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Viale dei Lavoratori, 18;Prato
HJO157;NRECRL91C27D612H;BluAcqua Forniture Srl di Giuseppe Esposito;Via Dante, 280;Firenze
HJO671;FRRCML72D61L378P;Gestione Idrica Integrata SpA di Francesco Bianchi;Corso Garibaldi, 90;Trento
HJT534;NREGLI73E48L117P;Servizi Idrici del Nord Srl di Stefano Bruno;Piazza Mazzini, 10;Terni
HKG326;CNTNDR59B02E506Y;BluFonte Distribuzione SpA di Giovanni Greco;Via IV Novembre, 108;Lecce
HKN060;NRECRL69R25L840T;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Via Europa, 299;Vicenza
HKY194;NRECLD88T65F205I;Acquedotto Centrale Italiano Srl di Antonio Romano;Via dell'Acquedotto, 292;Milano
HLE686;CRSPLA61R18I452U;Idroservice Nazionale SpA di Sara Rizzo;Via Matteotti, 119;Sassari
HLO178;GRSRRT61A59D704E;Acquedotto Peninsulare SpA di Lorenzo Conti;Corso del Porto, 181;Forlì
HLZ359;VLLMSM77D03L483E;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Corso della Pace, 74;Udine
HMB383;MNCLNZ86A21G999V;Rete Idrica Nazionale SpA di Matteo Colombo;Corso Cavour, 159;Prato
HNT424;FRRMRA74A57C352R;BluAcqua Forniture Srl di Giuseppe Esposito;Viale delle Industrie, 219;Catanzaro
HNX787;MRCNDR82R20H703K;Servizi Idrici del Nord Srl di Stefano Bruno;Viale della Repubblica, 177;Salerno
HOV265;RLNGNN96S50C352M;Acquedotto Peninsulare SpA di Lorenzo Conti;Via Colombo, 228;Catanzaro
HPE586;CNTLSE78P49B157F;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Viale delle Industrie, 186;Brescia
HPK505;RCCCRN62L44F704Z;Acquedotto Centrale Italiano Srl di Antonio Romano;Via del Commercio, 226;Monza
HPN785;MRTNTN75P18A390V;Rete Idrica Nazionale SpA di Matteo Colombo;Via Verdi, 70;Arezzo
HQH526;MNCMHL68D03D969I;AcquaPura Italia Srl di Maria Costa;Viale Italia, 295;Genova
HQS466;MRNMHL69D21G478N;Acque Chiare Servizi Srl di Marco Rossi;Corso Marconi, 121;Perugia
HQW386;GRCMHL88H20L378M;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Piazza Mazzini, 267;Trento
HRP964;FNTCHR45S52A952N;Cristallina Acque Srl di Giulia Moretti;Viale dei Lavoratori, 99;Bolzano
HSE914;BNCDNL45H28F952K;BluFonte Distribuzione SpA di Giovanni Greco;Corso Vittorio Emanuele, 78;Novara
HSY352;LMBLNZ70E06A944R;BluAcqua Forniture Srl di Giuseppe Esposito;Via IV Novembre, 10;Bologna
HUR243;FRRLCU50B25H199J;Idrogest Italia SpA di Paolo De Luca;Via della Libertà, 204;Ravenna
HVE016;LNGSFN45B09A794Q;Idroservice Nazionale SpA di Sara Rizzo;Corso Marconi, 277;Bergamo
HVG220;CPPMNC72E50B157K;Gestione Idrica Integrata SpA di Francesco Bianchi;Viale Leopardi, 18;Brescia
HVG555;BRBSFN48H02H199H;Acqua Sicura Forniture Srl di Chiara Lombardi;Viale Leopardi, 208;Ravenna
HVV983;CNTCRL49T07G337F;Sorgenti d'Italia Srl di Roberto Marino;Via San Giovanni, 244;Parma
HWA928;BNCNNA79T53H501T;AcquaPura Italia Srl di Maria Costa;Corso del Porto, 32;Roma
HXU835;MRTGLI48A58F839B;Cristallina Acque Srl di Giulia Moretti;Corso della Pace, 209;Napoli
HYB669;DLCRRT64A41L049Y;Idrogest Italia SpA di Paolo De Luca;Via Roma, 296;Taranto
HYE072;DSNFBA81E25E472P;Sorgenti d'Italia Srl di Roberto Marino;Via Europa, 188;Latina
HZB390;MRNLCU79C28L736H;Idroservice Nazionale SpA di Sara Rizzo;Corso XX Settembre, 173;Venezia
HZF647;NRERSO81M54G535U;Acquedotto Centrale Italiano Srl di Antonio Romano;Viale della Repubblica, 224;Piacenza
IAU377;SNTBBR50S65G482Z;Servizi Idrici del Nord Srl di Stefano Bruno;Via del Commercio, 239;Pescara
IBT060;GLLSLV81B67F952W;Acquedotto Centrale Italiano Srl di Antonio Romano;Via San Giovanni, 128;Novara
IBY292;SRRLNE47M44L049A;Acque Chiare Servizi Srl di Marco Rossi;Viale Nazionale, 183;Taranto
ICG825;CLMRRT70L68C351I;PureFlow Idrica Srl di Alessandro Ricci;Corso Marconi, 222;Catania
ICT666;MNCPRZ68R49F257Q;Acqua Sicura Forniture Srl di Chiara Lombardi;Viale dei Lavoratori, 71;Modena
ICX344;MNTCHR67R61D548A;BluAcqua Forniture Srl di Giuseppe Esposito;Via IV Novembre, 115;Ferrara
IDA181;CRSRRT62B56A952Q;Acquedotto Centrale Italiano Srl di Antonio Romano;Viale Leopardi, 233;Bolzano
IDL221;GLLLSN82H46L049E;Acquedotto Peninsulare SpA di Lorenzo Conti;Viale Leopardi, 94;Taranto
IDN660;GRCBBR66T66F205E;Acque del Sud Italia SpA di Elena Giordano;Via IV Novembre, 43;Milano
IEJ015;RLNSFN96L16H294E;Sorgenti d'Italia Srl di Roberto Marino;Corso Garibaldi, 239;Rimini
IEM540;BNCCST49P50G999F;BluFonte Distribuzione SpA di Giovanni Greco;Via Dante, 160;Prato
IEU000;SPSCRL56E22B354N;Idro Distribuzione Italiana SpA di Luca Russo;Via Roma, 296;Cagliari
IEW870;MRTFNC71D42A390X;Rete Idrica Nazionale SpA di Matteo Colombo;Via Dante, 48;Arezzo
IHW605;LMBPRI79E22A271X;Acquedotto Peninsulare SpA di Lorenzo Conti;Corso della Pace, 259;Ancona
IHZ100;DLCCLD66P68H199O;BluFonte Distribuzione SpA di Giovanni Greco;Viale della Repubblica, 224;Ravenna
IIG116;DLCLSN77A05H294X;Acquedotto Centrale Italiano Srl di Antonio Romano;Via Colombo, 84;Rimini
IIG259;CNTLSE87R51L049F;Idrogest Italia SpA di Paolo De Luca;Viale Italia, 56;Taranto
IIU160;LMBPLA77P53G535F;Idroservice Nazionale SpA di Sara Rizzo;Corso Garibaldi, 183;Piacenza
IIU278;GRSRSO48S44A952E;Acque del Sud Italia SpA di Elena Giordano;Viale Santa Maria, 278;Bolzano
IJD426;LNGDVD78M06A390T;Servizi Idrici del Nord Srl di Stefano Bruno;Via Roma, 58;Arezzo
IJD697;GLLSRG74E14I754L;Sorgenti d'Italia Srl di Roberto Marino;Via Colombo, 117;Siracusa
IJK203;RSSGRG78H06F205I;Servizi Idrici del Nord Srl di Stefano Bruno;Via Verdi, 129;Milano
IJX684;SNTGNN74L49F839U;Fonti Chiare Distribuzione Srl di Laura Mancini;Via della Costituzione, 7;Napoli
ILR678;DNGSFN58T20H530L;Fonti Chiare Distribuzione Srl di Laura Mancini;Piazza Mazzini, 219;Reggio Emilia
IMZ883;MNCMHL94H23C352Q;Gestione Idrica Integrata SpA di Francesco Bianchi;Viale della Repubblica, 294;Catanzaro
INJ873;DSNTRS81S41H224T;Acqua Sicura Forniture Srl di Chiara Lombardi;Piazza Mazzini, 219;Reggio Calabria
INK236;VLLLSE93S67F257N;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Viale Italia, 100;Modena
INN103;CPPPRZ48D64F257M;Idrogest Italia SpA di Paolo De Luca;Via Colombo, 29;Modena
IOC279;FRRGLI88S16E472G;Rete Idrica Nazionale SpA di Matteo Colombo;Corso Garibaldi, 121;Latina
IOV998;DLCLSN79R15I452E;AcquaPura Italia Srl di Maria Costa;Via San Giovanni, 157;Sassari
IOX155;RLNNNA63B45L736X;Sorgenti d'Italia Srl di Roberto Marino;Via Verdi, 176;Venezia
IPA631;RLNCLD78P66C352M;Acqua Sicura Forniture Srl di Chiara Lombardi;Via dell'Acquedotto, 29;Catanzaro
IPQ956;DSNLRT92E26H703H;Acquedotto Peninsulare SpA di Lorenzo Conti;Corso della Pace, 285;Salerno
IPZ177;MNCGLI97L52D704V;Acque del Sud Italia SpA di Elena Giordano;Via Colombo, 195;Forlì
IQE703;LMBGPP49H04D086H;AcquaPura Italia Srl di Maria Costa;Viale della Repubblica, 58;Cosenza
IQE781;CPPSMN56S07D969P;Acquedotto Peninsulare SpA di Lorenzo Conti;Via IV Novembre, 297;Genova
IQW301;PNIRRT53D08G482T;BluFonte Distribuzione SpA di Giovanni Greco;Viale Leopardi, 181;Pescara
IQX665;FRRGNN71P53A794P;BluAcqua Forniture Srl di Giuseppe Esposito;Via Roma, 162;Bergamo
IRA977;CPPCHR81M66G224K;Idroservice Nazionale SpA di Sara Rizzo;Corso Vittorio Emanuele, 112;Padova
ISM674;RSSCLD61P60H501P;Fonti Chiare Distribuzione Srl di Laura Mancini;Via dei Mille, 56;Roma
ISS315;VTLMSM70E08G478Z;BluAcqua Forniture Srl di Giuseppe Esposito;Viale Italia, 296;Perugia
ITC974;MRCGRG55L16G482W;AcquaPura Italia Srl di Maria Costa;Piazza Mazzini, 279;Pescara
IUF722;BRNFNC92S28A271C;Acqua & Territorio SpA di Davide Gallo;Viale della Repubblica, 61;Ancona
IUO811;SRRLSE78L42C573B;Idroservice Nazionale SpA di Sara Rizzo;Via Roma, 266;Cesena
IUU165;RZZFNC94B44L049C;Rete Idrica Nazionale SpA di Matteo Colombo;Corso dell'Artigianato, 94;Taranto
IVO355;RLNGLI80R07A285X;Servizi Idrici del Nord Srl di Stefano Bruno;Corso Garibaldi, 130;Andria
IVQ931;FNTMRC65S21E472R;Idrogest Italia SpA di Paolo De Luca;Viale dei Lavoratori, 15;Latina
IVS619;DSNLNZ49H12G337T;Acqua Sicura Forniture Srl di Chiara Lombardi;Viale Leopardi, 189;Parma
IVX262;GLLNTN51C19F839D;BluFonte Distribuzione SpA di Giovanni Greco;Corso XX Settembre, 9;Napoli
IVY562;CLMFRC74L52A390X;Idroservice Nazionale SpA di Sara Rizzo;Via della Libertà, 107;Arezzo
IWG133;FRRSRG54E20G337C;Idro Distribuzione Italiana SpA di Luca Russo;Via Colombo, 61;Parma
IWI872;RCCCML58S46E625C;Idro Distribuzione Italiana SpA di Luca Russo;Corso dell'Artigianato, 216;Livorno
IWY370;PNISRA84E63A390T;Acquedotto Peninsulare SpA di Lorenzo Conti;Corso Garibaldi, 297;Arezzo
IXF197;BRBGLI73H65G535W;Acque Chiare Servizi Srl di Marco Rossi;Via Europa, 176;Piacenza
IXQ400;MRTSRA90T59A271S;Servizi Idrici del Nord Srl di Stefano Bruno;Corso della Pace, 25;Ancona
IXX524;VTLGNN68H06L424C;Gestione Idrica Integrata SpA di Francesco Bianchi;Via San Giovanni, 160;Trieste
IYF417;RNLLNE95R49E506V;Fonti Chiare Distribuzione Srl di Laura Mancini;Corso Marconi, 15;Lecce
IYU238;SLVGLI45D10H224T;Idro Distribuzione Italiana SpA di Luca Russo;Corso della Pace, 118;Reggio Calabria
IZB909;MRTVCN77D02A390L;Acque Chiare Servizi Srl di Marco Rossi;Via Matteotti, 162;Arezzo
JAI924;GRCSLV84A64F952Z;Acqua Sicura Forniture Srl di Chiara Lombardi;Corso XX Settembre, 126;Novara
JAO335;MRNRRT67P64A662J;Acque del Sud Italia SpA di Elena Giordano;Via del Commercio, 2;Bari
JBA907;VTLLRA55E41L049Q;Acque del Sud Italia SpA di Elena Giordano;Via San Giovanni, 170;Taranto
JBE249;VTLSMN87A25D086V;Acquedotto Centrale Italiano Srl di Antonio Romano;Via delle Scienze, 267;Cosenza
JCL248;GRDGNN91A11L117B;Acquedotto Peninsulare SpA di Lorenzo Conti;Corso Marconi, 207;Terni
JDU684;RSSGPP88B22L483B;Idro Distribuzione Italiana SpA di Luca Russo;Viale Italia, 105;Udine
JEA668;CNTSRG63T11G999Y;Sorgenti d'Italia Srl di Roberto Marino;Viale Italia, 157;Prato
JER095;CSTMHL87P23D548Y;Acque Chiare Servizi Srl di Marco Rossi;Via Dante, 291;Ferrara
JFE016;LNGRRT52H06B354P;Acquedotto Centrale Italiano Srl di Antonio Romano;Via del Commercio, 82;Cagliari
JFM861;CPPRSO87C43D643H;Acque Chiare Servizi Srl di Marco Rossi;Viale della Repubblica, 236;Foggia
JFS073;MRCLRA66H64C352B;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Via Europa, 31;Catanzaro
JHJ459;SNTFBA96A05L219T;BluFonte Distribuzione SpA di Giovanni Greco;Corso della Pace, 126;Torino
JHN106;BRBNRC84S12G478S;Idroservice Nazionale SpA di Sara Rizzo;Via dei Mille, 40;Perugia
JHV502;DSNLNZ47R11A952B;BluFonte Distribuzione SpA di Giovanni Greco;Viale Leopardi, 22;Bolzano
JIA308;FRRLRT46L13I754M;Acqua & Territorio SpA di Davide Gallo;Viale Leopardi, 181;Siracusa
JIB175;LNECLD73T47C573P;Cristallina Acque Srl di Giulia Moretti;Piazza Mazzini, 43;Cesena
JIB332;SLVGNN51A56E506J;Gestione Idrica Integrata SpA di Francesco Bianchi;Corso dell'Artigianato, 280;Lecce
JJS529;MRTCRL47L10C352H;Gestione Idrica Integrata SpA di Francesco Bianchi;Viale Italia, 73;Catanzaro
